City,Turnover_Rate,Average rent ($),Year,Total_Units,Buy_Price,Intl_Students_Prov,Annual_Rent,Cap_Rate,Price_to_Rent_Ratio,Average rent ($)_Lag1,Average rent ($)_Lag2,Average rent ($)_Growth,Turnover_Rate_Lag1,Turnover_Rate_Lag2,Turnover_Rate_Growth,Total_Units_Lag1,Total_Units_Lag2,Total_Units_Growth,Intl_Students_Prov_Lag1,Intl_Students_Prov_Lag2,Intl_Students_Prov_Growth,Cap_Rate_Lag1,Cap_Rate_Lag2,Cap_Rate_Growth,Student_Supply_Mismatch,Target_Next_Year_Rent,Target_Next_Year_Growth
Calgary,29.9,1355.0,2021,44723.0,242358.33333333337,102740.0,16260.0,6.70907402950177,14.90518655186552,1323.0,1305.0,2.4187452758881234,33.3,35.4,-10.210210210210203,41995.0,40689.0,6.496011429932125,92950.0,106405.0,10.532544378698216,6.819587628865979,6.522961574507967,-1.6205319937004248,4.036532948766091,1466.0,8.191881918819188
Calgary,28.4,1466.0,2022,48285.0,265108.3333333333,128170.0,17592.0,6.63577782667463,15.069823404577837,1355.0,1323.0,8.191881918819188,29.9,33.3,-5.0167224080267525,44723.0,41995.0,7.964581982425156,102740.0,92950.0,24.75180066186491,6.70907402950177,6.819587628865979,-1.0924935766818966,16.787218679439754,1695.0,15.620736698499318
Calgary,27.9,1695.0,2023,51295.0,296833.3333333333,160510.0,20340.0,6.852330151600225,14.593575876761717,1466.0,1355.0,15.620736698499327,28.4,29.9,-1.7605633802816878,48285.0,44723.0,6.233820026923476,128170.0,102740.0,25.23211359912616,6.63577782667463,6.70907402950177,3.2634052944794822,18.998293572202684,1882.0,11.03244837758112
Calgary,23.6,1882.0,2024,56441.0,337233.3333333333,159320.0,22584.0,6.69684689137096,14.932400519541858,1695.0,1466.0,11.032448377581128,27.9,28.4,-15.412186379928306,51295.0,48285.0,10.032166877863347,160510.0,128170.0,-0.7413868294810277,6.852330151600225,6.63577782667463,-2.2690567557220653,-10.773553707344375,1914.0,1.7003188097768331
Edmonton,25.0,1270.0,2021,75771.0,174883.33333333334,102740.0,15240.0,8.714381015915372,11.475284339457568,1272.0,1257.0,-0.15723270440252124,29.4,32.0,-14.965986394557817,72061.0,69883.0,5.148415925396543,92950.0,106405.0,10.532544378698216,8.592981797710639,8.150209374577875,1.4127717370130632,5.384128453301672,1304.0,2.677165354330709
Edmonton,28.1,1304.0,2022,78791.0,174125.0,128170.0,15648.0,8.98664752333094,11.127620143149285,1270.0,1272.0,2.677165354330713,25.0,29.4,12.400000000000011,75771.0,72061.0,3.9856937350701394,102740.0,92950.0,24.75180066186491,8.714381015915372,8.592981797710639,3.1243355887046853,20.76610692679477,1398.0,7.208588957055214
Edmonton,30.4,1398.0,2023,81705.0,173433.33333333334,160510.0,16776.0,9.6728810301749,10.338181529168654,1304.0,1270.0,7.208588957055206,28.1,25.0,8.185053380782904,78791.0,75771.0,3.6983919483189798,128170.0,102740.0,25.23211359912616,8.98664752333094,8.714381015915372,7.636145793660809,21.53372165080718,1536.0,9.871244635193133
Edmonton,28.1,1536.0,2024,85795.0,190908.33333333337,159320.0,18432.0,9.654895455934346,10.357439959490742,1398.0,1304.0,9.871244635193133,30.4,28.1,-7.5657894736842035,81705.0,78791.0,5.005813597699049,160510.0,128170.0,-0.7413868294810277,9.6728810301749,8.98664752333094,-0.18593813140518334,-5.747200427180077,1603.0,4.361979166666666
Halifax,14.4,1335.0,2021,53347.0,339733.3333333333,84785.0,16020.0,4.715463108320252,21.20682480233042,1255.0,1202.0,6.374501992031867,18.8,20.9,-23.404255319148938,52244.0,50769.0,2.111247224561663,75125.0,79135.0,12.858569051580693,5.598686452492331,5.939061213285755,-15.775545776079325,10.747321827019029,1449.0,8.539325842696629
Halifax,17.2,1449.0,2022,54695.0,414083.3333333333,88310.0,17388.0,4.199154759508956,23.814316386780153,1335.0,1255.0,8.539325842696632,14.4,18.8,19.444444444444443,53347.0,52244.0,2.526852494048404,84785.0,75125.0,4.157575042755202,4.715463108320252,5.598686452492331,-10.949260697221652,1.6307225487067978,1628.0,12.353347135955833
Halifax,11.1,1628.0,2023,55519.0,436708.3333333333,107770.0,19536.0,4.473466272302262,22.354030166530166,1449.0,1335.0,12.35334713595584,17.2,14.4,-35.46511627906976,54695.0,53347.0,1.5065362464576237,88310.0,84785.0,22.036009511946553,4.199154759508956,4.715463108320252,6.532541154196059,20.529473265488928,1707.0,4.8525798525798525
Halifax,10.5,1707.0,2024,59725.0,451208.3333333333,108000.0,20484.0,4.539809770061871,22.027354683330078,1628.0,1449.0,4.8525798525798525,11.1,17.2,-5.405405405405405,55519.0,54695.0,7.575784866442126,107770.0,88310.0,0.2134174631158947,4.473466272302262,4.199154759508956,1.4830445502714396,-7.362367403326231,1826.0,6.971294669009959
Hamilton,12.0,1362.0,2021,45147.0,487800.0,15380.0,16344.0,3.3505535055350553,29.845814977973568,1291.0,1219.0,5.499612703330747,14.0,15.9,-14.28571428571429,44258.0,44012.0,2.008676397487452,14290.0,16015.0,7.627711686494054,3.737665366520568,3.9941749340129244,-10.357049736260338,5.619035289006602,1438.0,5.580029368575625
Hamilton,14.9,1438.0,2022,45212.0,581966.6666666666,17480.0,17256.0,2.965118277106364,33.72546747025189,1362.0,1291.0,5.580029368575623,12.0,14.0,24.16666666666667,45147.0,44258.0,0.1439741289565255,15380.0,14290.0,13.654096228868662,3.3505535055350553,3.737665366520568,-11.5036285136757,13.510122099912136,1617.0,12.447844228094576
