Year,Interest_Rate
2014,1.0
2015,0.63
2016,0.5
2017,0.698076923076923
2018,1.4042145593869733
2019,1.75
2020,0.5565134099616859
2021,0.25
2022,1.9296875
2023,4.743243243243243
2024,4.546934865900383
2025,2.71011673151751
