City,Turnover_Rate,Average rent ($),Year,Total_Units,Buy_Price,Intl_Students_Prov,Annual_Rent,Cap_Rate,Price_to_Rent_Ratio,Average rent ($)_Lag1,Average rent ($)_Lag2,Average rent ($)_Growth,Turnover_Rate_Lag1,Turnover_Rate_Lag2,Turnover_Rate_Growth,Total_Units_Lag1,Total_Units_Lag2,Total_Units_Growth,Intl_Students_Prov_Lag1,Intl_Students_Prov_Lag2,Intl_Students_Prov_Growth,Cap_Rate_Lag1,Cap_Rate_Lag2,Cap_Rate_Growth,Student_Supply_Mismatch,Target_Next_Year_Rent,Target_Next_Year_Growth
Calgary,35.4,1235.0,2017,40689.0,246816.66666666663,79770.0,14820.0,6.004456749274091,16.654295996401256,1242.0,1319.0,-0.5636070853462183,35.4,35.4,0.0,40689.0,40689.0,0.0,66495.0,56020.0,19.96390706068125,5.881996974281391,5.934758155230596,2.0819421622987333,19.96390706068125,1262.0,2.186234817813765
Calgary,35.4,1262.0,2018,40689.0,243925.0,94430.0,15144.0,6.208465716921185,16.10703909138933,1235.0,1242.0,2.1862348178137703,35.4,35.4,0.0,40689.0,40689.0,0.0,79770.0,66495.0,18.377836279303004,6.004456749274091,5.881996974281391,3.3976257331149506,18.377836279303004,1305.0,3.407290015847861
Calgary,35.4,1305.0,2019,40689.0,240075.0,106405.0,15660.0,6.522961574507967,15.330459770114942,1262.0,1235.0,3.4072900158478525,35.4,35.4,0.0,40689.0,40689.0,0.0,94430.0,79770.0,12.681351265487661,6.208465716921185,6.004456749274091,5.06559707223031,12.681351265487661,1323.0,1.3793103448275863
Calgary,33.3,1323.0,2020,41995.0,232800.0,92950.0,15876.0,6.819587628865979,14.663643235071806,1305.0,1262.0,1.379310344827589,35.4,35.4,-5.932203389830515,40689.0,40689.0,3.2097126987638003,106405.0,94430.0,-12.645082467929136,6.522961574507967,6.208465716921185,4.547413793103439,-15.854795166692936,1355.0,2.418745275888133
Calgary,29.9,1355.0,2021,44723.0,242358.33333333337,102740.0,16260.0,6.70907402950177,14.90518655186552,1323.0,1305.0,2.4187452758881234,33.3,35.4,-10.210210210210203,41995.0,40689.0,6.496011429932125,92950.0,106405.0,10.532544378698216,6.819587628865979,6.522961574507967,-1.6205319937004248,4.036532948766091,1466.0,8.191881918819188
Calgary,28.4,1466.0,2022,48285.0,265108.3333333333,128170.0,17592.0,6.63577782667463,15.069823404577837,1355.0,1323.0,8.191881918819188,29.9,33.3,-5.0167224080267525,44723.0,41995.0,7.964581982425156,102740.0,92950.0,24.75180066186491,6.70907402950177,6.819587628865979,-1.0924935766818966,16.787218679439754,1695.0,15.620736698499318
Calgary,27.9,1695.0,2023,51295.0,296833.3333333333,160510.0,20340.0,6.852330151600225,14.593575876761717,1466.0,1355.0,15.620736698499327,28.4,29.9,-1.7605633802816878,48285.0,44723.0,6.233820026923476,128170.0,102740.0,25.23211359912616,6.63577782667463,6.70907402950177,3.2634052944794822,18.998293572202684,1882.0,11.03244837758112
Calgary,23.6,1882.0,2024,56441.0,337233.3333333333,159320.0,22584.0,6.69684689137096,14.932400519541858,1695.0,1466.0,11.032448377581128,27.9,28.4,-15.412186379928306,51295.0,48285.0,10.032166877863347,160510.0,128170.0,-0.7413868294810277,6.852330151600225,6.63577782667463,-2.2690567557220653,-10.773553707344375,1914.0,1.7003188097768331
Edmonton,32.0,1216.0,2017,69883.0,201216.66666666663,79770.0,14592.0,7.251884370082003,13.789519371345026,1232.0,1261.0,-1.2987012987012991,32.0,32.0,0.0,69883.0,69883.0,0.0,66495.0,56020.0,19.96390706068125,7.169158651903339,7.178935715980073,1.1539111100115074,19.96390706068125,1246.0,2.4671052631578947
Edmonton,32.0,1246.0,2018,69883.0,195591.66666666663,94430.0,14952.0,7.644497464956757,13.081304619225964,1216.0,1232.0,2.4671052631578982,32.0,32.0,0.0,69883.0,69883.0,0.0,79770.0,66495.0,18.377836279303004,7.251884370082003,7.169158651903339,5.413945877219151,18.377836279303004,1257.0,0.8828250401284109
Edmonton,32.0,1257.0,2019,69883.0,185075.0,106405.0,15084.0,8.150209374577875,12.26962344205781,1246.0,1216.0,0.882825040128421,32.0,32.0,0.0,69883.0,69883.0,0.0,94430.0,79770.0,12.681351265487661,7.644497464956757,7.251884370082003,6.615371539324322,12.681351265487661,1272.0,1.1933174224343674
Edmonton,29.4,1272.0,2020,72061.0,177633.33333333334,92950.0,15264.0,8.592981797710639,11.63740391334731,1257.0,1246.0,1.193317422434359,32.0,32.0,-8.125000000000004,69883.0,69883.0,3.116637808909184,106405.0,94430.0,-12.645082467929136,8.150209374577875,7.644497464956757,5.432650902366509,-15.76172027683832,1270.0,-0.15723270440251574
Edmonton,25.0,1270.0,2021,75771.0,174883.33333333334,102740.0,15240.0,8.714381015915372,11.475284339457568,1272.0,1257.0,-0.15723270440252124,29.4,32.0,-14.965986394557817,72061.0,69883.0,5.148415925396543,92950.0,106405.0,10.532544378698216,8.592981797710639,8.150209374577875,1.4127717370130632,5.384128453301672,1304.0,2.677165354330709
Edmonton,28.1,1304.0,2022,78791.0,174125.0,128170.0,15648.0,8.98664752333094,11.127620143149285,1270.0,1272.0,2.677165354330713,25.0,29.4,12.400000000000011,75771.0,72061.0,3.9856937350701394,102740.0,92950.0,24.75180066186491,8.714381015915372,8.592981797710639,3.1243355887046853,20.76610692679477,1398.0,7.208588957055214
